Key,Translation,Version,Comment (context for translators)
demand.type.Unlimited,Produkuj Bez Końca,,"like demand.type.Custom, but it does not let you choose the amount, it will keep producing the copies of the item forever (or until you change the configuration)"
demand.type.Unlimited.tip,"Będzie produkować nieskończenie, chyba że zmienisz ustawienia.",,
demo.mode,Tryb Demo,,
demo.mode.off,Tryb Demo Wyłączony,,
demo.mode.on,Tryb Demo Włączony<br>(Wyłącz klikając: Ctrl + F9),,
destroy,Zniszcz,,
details,Detale,,
dev.build.instant,Natychmiastowa Budowa (Tryb Piaskownicy),,
dev.debug,Debug Dewelopera,,
dev.menu.achievements.warning,Użycie niektórych funkcji w tym menu <b>Wyłączy osiągnięcia dla tego zapisu</b> bez ostrzeżenia.,,
dev.notice,Uwaga od Dewelopera,,
device.battery.level,Bateria: {0} ({1}),,
device.health,Kondycja: {0},,
device.idle,{0} ({1}) jest bez zadań,29.10.2022,"Example: ""Furnace (Iron) is idle"""
device.wear,Zużycie Urządzeń,,
device.wear.tip,"Jeśli włączone, urządzenia będą śledzić zużycie, i nie będzie można ich naprawić, jeśli zużycie osiągnie 100%.",,
device.wear.warning,Urządzenie będzie potrzebowało wymiany,,
device.worn.out,Urządzenie zostało zużyte i nie może być już naprawiane,,
different.section,Inna Sekcja,,"shows up in the list of reasons why someone did not perform a task. ""Different section"" in this context means that the worker was in section A, while task was in section B. Different sections can only be reached by flying, so worker that will not do the task for this reason will almost always be someone who is incapable of flying"
difficulty.balanced,Zbalansowany,,"Shows up in the list of game difficulty levels. Balanced is like ""medium difficulty"""
difficulty.challenging,Wyzywający,,"Shows up in the list of game difficulty levels. Challenging is like ""hard difficulty"""
difficulty.relaxing,Relaksacyjny,,"Shows up in the list of game difficulty levels. Relaxing is like ""easy difficulty"""
direct.control,Bezpośrednia Kontrola,,"A text on a button that enables ""direct control"" of a robot. ""Direct control"" allows issuing orders directly to the selected robot. Otherwise robots make choices and perform actions on their own."
direct.control.desc,"
Po wybraniu pracownika, przytrzymaj {0} i najedź kursorem na dowolną lokalizację, aby oszacować, czy pracownik może się tam udać.<br><br>Przytrzymując {0}, możesz najechać na oczekujące zadania na mapie, aby sprawdzić, czy pracownik może wykonać zadanie.<br><br>Następnie kliknij {1}, aby wydać pracownikowi polecenie udania się do wybranej lokalizacji i/lub wykonania zadania.<br><br>Możesz przejąć <b>Bezpośrednią Kontrolę</b> nad swoimi pracownikami, aby uniemożliwić im automatyczne przemieszczanie się lub wykonywanie zadań. Nie zapomnij ich uwolnić, gdy nie są już potrzebni.<br><br>Wydanie bezpośredniego rozkazu spowoduje porzucenie wszelkich innych czynności, które może wykonywać pracownik.<br><br>Możesz wybrać wielu pracowników i wydawać im polecenia w grupach.<br><br>W ten sposób można kontrolować tylko Zarządzalnych Pracowników (roboty, drony).",31.10.2022,
direction.east,Wschód,,"Noun. direction.X keys are used on buttons that allow you to select your space ship's ""forward direction"". It tells which way the ship's front is facing. Engines will be on the opposite direction, etc."
direction.north,Północ,,
direction.south,Południe,,
direction.west,Zachód,,
dirt,Brud,,
dirt.desc,Brudne piktogramy,,"Decals in game development are textures that are placed on top of other textures to add various marks (bullet damage, blood, dirt, etc). In this case it is for menu item that allows spawning dirt on the floor."
disable.achievements,Wyłącz Osiągnięcia,,
disable.achievements.tip,"Jeśli denerwują cię Osiągnięcia, możesz je wyłączyć.",,
disable.force.field,Wyłącz Pole Siłowe,,
disable.merchant.beacon,Wyłącz Sygnał dla Kupców,,
disabled.in.tutorial,Wyłączone w Samouczku,,
disassemble,Rozmontuj,,
disassembling.bar,Rozmontowuje: {0}/{1},,
discharge.time.left,Czas Pola Siłowego,,"A label displayed next to the time left for a force field device to be activated (because it's battery is discharging, after some time it will auto-deactivate and will have to recharge). See ""charge.time.left"" key for more context."
disconnect.all,Odłącz Wszystkie,,
disk.compression,Kompresja Dysku: {0},,
memory.compression,Kompresja Pamięci: {0},,
do.not.show.again,Nie Pokazuj Więcej,,
dock,Dokuj,,Verb. Displayed on an action button that tells a robot to return to a docking station.
dockable,Dokowalny,,Adjective. Displayed on a button that opens a submenu that contains robot's docking status and controls
docked,Zadokowany,,"Robot state, denoting that robot is currently inside it's designated docking station"
docking,Dokowanie,,"Robot state, denoting that robot is currently trying to reach it's docking station"
does.not.include.batteries,Nie zawiera baterii,,"This is a tooltip/balloonÂ text, appearing when you hover cursor over the ""Max Production"" string in the Electric Grid Overlay (section Details)
It means - the value (amount of production power) does not include electric power which produced by Batteries."
dont.save,Wyjdź Bez Zapisania,,
door,Drzwi,,
door.not.powered,Drzwi nie są podłączone lub jest deficyt prądu,,
download.mods,Pobierz Mody,,
drag.dist.tip,"Opcja dostępności. Informuje, ile pikseli należy przeciągnąć po kliknięciu przycisku, aby uznać akcję za „przeciąganie”.",,
drag.release.build.con,Buduj łączniki na zwolnieniu przeciągania,,
drag.release.build.con.tip,"Jeśli ta opcja jest włączona, narzędzie łączenia utworzy połączenie, gdy przeciągnięte połączenie zostanie zwolnione na pustej podłodze.",,
drink.coffee,Wypij Kawę,,
drop.task,Porzuć Zadanie,,
duplicate.binding,Zduplikowane Przypisania,,A warning for input key binding settings. Displayed if the same button is bound to execute more than one action (which is bad). 
duplicate.binding.info,"Przycisk wybrany dla {0} jest już używany gdzie indziej. W większości przypadków zalecamy cofnąć zmiany. Należy pamiętać, że klawisze strzałek na klawiaturze, Enter i ESC są używane do nawigacji w interfejsie użytkownika.",,
dust.accumulation,Gromadzenie się Kurzu,,
dust.amount,Ilość Kurzu,,
dust.amount.bar,Czyści Kurze: {0}/{1},,
dust.storm.end,Burza Pyłowa Zakończyła się,,
dust.storm.ongoing,Burza Pyłowa w Trakcie,,"Displayed in the event list. This text is displayed for the whole duration of the dust storm, so the player can see that the dust storm did not go away yet. Should not be much longer than the English translation."
eat,Jedz,,
eating,Je,,
economy.research.required,"Aby włączyć tę funkcjonalność, wymagane są badania „Ekonomia”.",,
edge.pan.speed,Prędkość Przesuwania Krawędzi: {0:0.0},,
edge.pan.tip,"Kontroluje prędkość przewijania krawędzi. Ustaw tą opcję na 0, aby wyłączyć przewijanie krawędzi.",,
egg,Jajko,,
eject,Wyrzuć,,
eject.ammo,Wyrzuć Amunicję,,
eject.contents,Wyrzuć Zawartość,,
eject.food,Wyrzuć Jedzenie,,
eject.fuel,Wyrzuć Paliwo,,
el.build.connector.here,Zbuduj tutaj łącznik,,Displayed in a tooltip when dragging a connector 
el.connector.fully.utilized,Łącznik jest w pełni wykorzystany!,,Displayed in a tooltip near mouse cursor when trying to drag and create a connection from electrical connector that has no available connection slots
el.connector.not.on.grid,Łącznik nie jest na tej samej sieci co Komputer Pokładowy,,Displayed in a tooltip when trying to drag an electrical connection from a connector that is not part of Ship Computer's electricity grid. Player cannot control devices that are no connected to Ship Computer though a network.
el.connector.out.of.range,Poza zasięgiem!,,Displayed in a tooltip when trying to drag an electrical connection to a point where the connector cannot reach it
el.consumption.priority,Priorytet Konsumpcji,,
el.consumption.priority.desc,"Priorytet zużycia energii elektrycznej pozwala zarządzać, kiedy urządzenie pobiera energię z sieci. Większa liczba nadaje urządzeniu wyższy priorytet, dzięki czemu będzie ono pobierać energię jako pierwsze. Natomiast niższa liczba sprawi, że urządzenie będzie pobierać energię później niż inne urządzenia, zakładając, że zostało jeszcze trochę prądu.",,
el.device.heavily.damaged,Urządzenie jest bardzo uszkodzone!,,Displayed in a tooltip when tryng to connect to a device that is damaged too much
el.device.not.constructed,Urządzenie nie zostało jeszcze zbudowane!,,Displayed when trying to connect to a device that has not been built yet
el.device.not.powerable,Urządzenie nie potrzebuje prądu!,,Displayed in a tooltip when trying to connect a device that does not require electricity
el.disconnected.devices,Odłączone Urządzenia,,
el.not.a.connector,Urządzenie nie jest łącznikiem!,,"Displayed in a tooltip when trying to connect two devices directly (which is not allowed, one of the devices must be a connector)"
el.production.priority,Priorytet Produkcji,,
el.production.priority.desc,"Priorytet produkcji energii elektrycznej określa, czy urządzenie będzie wytwarzać energię elektryczną, gdy sieć będzie w stanie zapewnić więcej energii niż jest to wymagane. Większa liczba oznacza wyższy priorytet. Urządzenia o wyższym priorytecie, będą w pierwszej kolejności wytwarzać prąd. Możesz użyć tej opcji do zmiany priorytetu dla różnych rodzajów paliwa.",,
electricity.deficit,Deficyt Energetyczny,,
electricity.grid,Sieć Elektryczna,,
elysium.mode.confirm,"Za chwilę przekształcisz Komorę Zastoju w <b><nobr>Elizjum</nobr></b>, które wprowadzi twoich śpiących kolonistów w symulację i pozwoli ci wykorzystać ich ciała jako zasoby biologiczne. <b>Proces ten jest nieodwracalny</b>. Proszę potwierdzić swóją decyzję.",,
elysium.mode.unavailable,Elizjum jest niedostępne. Najpierw musimy odblokować <b><nobr>Elizjum</nobr></b> w Drzewku Badań.,,
emergency.recharge.bar,Awaryjne ładowanie: {0},,
emergency.recharge.complete,Awaryjne Ładowanie Zakończone,,
emergency.recharge.end.help,"Pracownik naładował się do 10% i wrócił do trybu online. To naładowanie nie potrwa długo, więc upewnij się, że w pobliżu znajduje się wystarczająca liczba wolnych i odpowiednio podłączonych Stacji Ładujących.",,
emergency.recharge.help,"Twój pracownik został całkowicie rozładowany. Włączono Awaryjne Wbudowane Panele Słoneczne. Pracownik powróci do trybu online, gdy jego Zapotrzebowanie Elektryczne osiągnie 10%. Proces jest automatyczny, ale powolny.<br><br>Aby zapobiec takim sytuacjom w przyszłości, zbuduj więcej stacji ładowania lub dostosuj priorytety zadań pracowników.",,
emergency.recharge.info,"Nie można przełączyć, gdy jest aktywny tryb ładowania awaryjnego. Pracownik automatycznie włączy się ponownie, gdy Awaryjne Wbudowane Panele Słoneczne podniosą poziom naładowania do 10%",,
emergency.recharge.start,Wyłączenie w celu Awaryjnego Ładowania,,
emergency.siren,Syrena Alarmowa,,
emergency.siren.active,Syrena Alarmowa jest Włączona,,
emergency.siren.automatic,Automatycznie,,"A mode for the Emergency Siren device. When the mode is ""Automatic"", the siren will sound on it's own when emergency happens."
emergency.siren.automatic.info,"Automatyczna Syrena Alarmowa włączy się po uruchomieniu dowolnego krytycznego alarmu. Obejmuje to nadchodzące asteroidy, pożary i podobne katastrofy. Ludzcy koloniści pobiegną w stronę najbliższej syreny alarmowej, gdy się aktywuje.",,
emergency.siren.manual,Ręcznie,,"A mode for the Emergency Siren device. When the mode is ""Manual"", the siren will only sound when the player turns it on."
emotional.attachments,Przywiązania,,"A label for list of things a person is attached to. As in ""Emotional attachments"". Someone can be attached to another person (i.e. they are friends, or in love), a thing (i.e. their favorite chair near a table, their own bed), or a substance (addiction to coffee). When the subject of this attachment is lost, the person will feel bad about it."
empty,Puste,,"Adjective. Used in several places where there is supposed to be a list of items, but there is nothing to show. For example if a storage unit does not have any contents, and you try to see the list of contents, it will show this ""Empty"" text"
enable.combat,Włącz Walkę,,
enable.combat.tip,"Jeśli walka zostanie wyłączona, gra będzie w trybie pacyfistycznym. Klęski żywiołowe, takie jak deszcz meteorytów, nadal mogą się zdarzyć.",,
enable.elysium.mode,Włącz Tryb Elizjum,,
enable.force.field,Włącz Pole Siłowe,,
enabling.elysium,Włączanie Elizjum,,
enclosed.areas,Zamnknięte Przestrzenie,,
ended.ago,Skończyło się {0},,"Displayed in tooltip when you hover an old event notification. {0} will be used in conjunction of ""time.ago"" translation. Example: ""Ended 5 hours ago"""
ends.in,Kończy się za {0},,
energy.auto.connect.incomplete,Auto-Połączenie niekompletne. Połączono {0} z {1} dostępnych węzłów. Zbuduj więcej Łączników,,
energy.auto.connect.warning,Ostrzeżenie Auto-Połączenia,,
energy.bat.charge,Poziom Naładowania Baterii,,
energy.bat.charge.desc,"Suma dostępnej mocy wyjściowej każdej baterii pomnożona przez procent jej naładowania. Nie pokazuje, jak długo potrwa ładowanie, ale pokazuje jak pełne są akumulatory. Ta wartość zostanie ułożona na górze wykresu Maksymalnej Produkcji.",,
energy.batteries,Baterie,,
energy.bullet,Nabój Energetyczny,,
energy.con.already.connected,Ten węzeł energetyczny jest już podłączony do innego łącznika,,
energy.con.damaged,Nie można połączyć uszkodzonych urządzeń. Najpierw zleć naprawę.,,
energy.con.failed,Połączenie nie powiodło się,,
energy.con.not.constructed,Nie można połączyć z niezbudowanymi urządzeniami,,
energy.con.refused,Nie można połączyć,,
energy.con.refused.details,Łącznik wykorzystał swoją <b>Pełną Pojemność</b>. Maksymalna liczba połączeń: {0}. Najpierw coś odłącz.,05.08.2022,
energy.con.too.far,"Urządzenie jest poza zasięgiem Łącznika. Można połączyć ze sobą wiele Łączników, aby uzyskać dostęp do urządzenia.",,
energy.connection.limit,Nawiązane Połączenia,,
energy.connections,Zarządzaj Połączeniami,,
energy.connectors,Łaczniki,,
energy.consumers,Konsumenci,,
energy.consumption,Zużycie Energii,,
energy.cur.deficit,Akrualny Deficyt,,
energy.cur.deficit.desc,"To jest aktualny deficyt energii elektrycznej. Jeśli nie wynosi zero, trzeba albo wyłączyć niektóre odbiorniki energii elektrycznej, albo zbudować więcej urządzeń wytwarzających energię elektryczną. Pamiętaj, że prowadzenie badań często wymaga dużej ilości energii elektrycznej.",,
energy.cur.demand,Aktualne Zapotrzebowanie,,
energy.cur.demand.desc,Jest to całkowita ilość energii elektrycznej wymagana do zasilenia wszystkich twoich urządzeń w ich bieżącym stanie. Niektóre urządzenia będą zużywać energię elektryczną dopiero po włączeniu. Zawsze dobrze jest mieć nadwyżkę produkcyjną niż zapotrzebowanie.,,
energy.cur.output,Zużycie Energii,27.05.2022,
energy.cur.output.desc,"To jest twoje bieżące zużycie. Jeżeli jest one wyższe od ilości produkowanej energii, włączają się baterie. Jeśli jest one niższe od zapotrzebowania, należy zwiększyć produkcję energii lub sprawdzić, czy wszystkie urządzenia są w dobrym stanie, odpowiednio skonfigurowane, zatankowane i wyczyszczone. Pamiętaj, że reaktory nie będą wytwarzać energii elektrycznej, jeśli nie będzie zapotrzebowania.",27.05.2022,
energy.deficit,Deficyt Energetyczny,,
energy.grid,Sieć Elektryczna,,
energy.grid.nr,Sieć #{0}: {1},,
energy.grids,Sieci Elektryczne,,
energy.loss,Strata Energii,,
energy.low,Mało Energii,,
energy.max.bat.output,Rezerwa Baterii,,
energy.max.bat.output.desc,"Suma dostępnej mocy wyjściowej każdej baterii o ładunku niezerowym. Każda bateria jest albo wyczerpana, albo może generować maksymalną moc, gdy jest naładowana. Ta wartość zostanie ułożona na górze wykresu Maksymalnej Produkcji.",,
energy.max.output,Maksymalna Produkcja,27.05.2022,
energy.max.output.desc,"Jest to teoretyczna maksymalna moc wyjściowa energii elektrycznej, jaką może wytworzyć twoja sieć. Nie obejmuje baterii. Rzeczywista moc wyjściowa może się różnić w zależności od bieżącego zapotrzebowania na energię, stanu urządzeń i zużycia baterii.",,
energy.node,Węzeł Energetyczny,,
energy.node.auto.connect,Auto-Połączone ({0}),,
energy.node.connect,Połącz,,
energy.node.disconnect,Odłącz,,
energy.node.disconnect.all,Odłącz Wszystkie ({0}),,
energy.node.unreachable,Węzeł jest Nieosiągalny,,
energy.node.unreachable.info,"Aby kontrolować ten Węzeł Energetyczny, <b>musi on znajdować się w tej samej sieci energetycznej co Komputer Pokładowy</b>. Rozbuduj swoją sieć elektryczną, aż jeden z łączników będzie mogł dotrzeć do tego urządzenia.",10.08.2022,
energy.not.connected,Nie Połączone,,
energy.off_grid,Poza Siecią,,
energy.overview,Przegląd,,
energy.peak.demand,Szczytowa Konsumpcja,,
energy.peak.demand.desc,Szczytowe zużycie energii elektrycznej zarejestrowane od ostatniej zmiany dotyczącej sieci elektroenergetycznej. Modyfikowanie istniejących połączeń spowoduje zresetowanie tej wartości.,,
energy.producers,Producenci,,
energy.production,Produkcja Energii,,
energy.tool.need.research,"Aby móc korzystać z tego narzędzia, musisz zbadać <b>Energię</b> i zbudować kilka <b>Łączników</b>.",,
energy.turned.off,Odłączonych [{0}],14.06.2022,"{0} will show the count of devices. Switched off is as in ""turned off"" or ""offline"", i.e. ""Switched Off [12]"""
engine,Silnik,,
engine.power,Moc Silnika,,
engine.push,Moc Wszystkich Silników,08.01.2022,"This is used in a label that shows how powerful the ship engines are when you combine their output. ""Push"" here is as in ""Force"" or ""Power"", or ""Propulsion amount"". "
enter.amount,Wpisz Ilość,,
enter.galaxy,Wejdź do Galaktyki,,
enter.name,Wpisz Nazwę,,
enter.new.first.name,Wpisz Imię,,
enter.new.last.name,Wpisz Nazwisko,,
enter.new.name,Wpisz nowe imię,,
enter.new.nick.name,Wpisz nowe przezwisko,,
enter.planet,Wejdź do Planety,,Used in an action button that would start an expedition to explore a planet
enter.shuttle,W drodze do Promu,,Expedition state label. Showed when expedition members are on their way to the Shuttle
enter.system,Wejdź do Systemu Gwiezdnego,,Used in an action button when you are flying in the galaxy and want to enter a particular star system. It will then shift from galaxy view to star system view.
enter.universe,Wejdź do Wszechświata,,"May be used if we will have more than one universe (multiverse), this would change the current universe."
environment,Otoczenie,,
equipable.item,Przedmiot do Wyposażenia,,
equipment,Wyposażenie,,
equipment.slot.Body,Ciało,,
equipment.slot.BodyCasual,Ciało (nieformalne),,
equipment.slot.Hands,Dłonie,,
equipment.slot.Head,Głowa,,
equipment.slot.HeadCasual,Głowa (nieformalne),,
equipment.slot.Weapon,Broń,,
error,Błąd,,
error.content.required,Wymaga zawartości,,
error.deconstruct.floor.in.use,Nie można zdekonstruować podłogi ponieważ jest na niej inny objekt,,
error.energy_connect.no_connector,Nie można bezpośrednio połączyć dwóch urządzeń. Podłącz do <nobr><b>Łącznika</b></nobr>. Łączniki można łączyć ze sobą w celu rozbudowy sieci.,,
error.no.cpu,Komputer Pokładowy jest niedostępny,,
error.title.required,Wymagany tytuł,,
esc.behavior,Przycisk ESC {0},28.04.2022,{0} will be replaced with a keyboard button image showing ESC button. You can treat it as non essential for the translation.
esc.behavior.both,Zamknij Interfejs Użytkownika i Menu Główne,,
esc.behavior.close.menus,Wyłącz Interfejs Użytkownika,,
esc.behavior.open.pause.panel,Wyłącz Menu Główne,,
esc.behavior.tooltip,Wybierz co robi przycisk Escape {0},,
estimated.time.at.kw,Szacowany pozostały czas: {0} na {1},,"{0} will be time (i.e. 1 day 4 hours), {1} will be power output (i.e. 120kW). Example: ""Estimated time left: 2 hours at 24kW"""
eta,Przewidywany Czas Przybycia: {0},,"ETA is short for ""Estimated Time of Arrival"""
ev.vented.into.space,Wpuszczony w Przestrzeń,,"when a pressurized airlock is exposed to open space, someone can get ""sucked out"" (vented) into open space"
ev.vented.into.space.desc,"<b>{0}</b> znajdował/a się w obszarze pod ciśnieniem w pobliżu śluzy, która nagle się otworzyła. Niestety, kolonista wylądował na otwartej przestrzeni i nigdy więcej ich nie widziano.",,"A longer description of ""Vented Into Space"" event. {0} will be replaced by a name"
evaluator,Oceniający,,"Used for task audit. Label for a worker who has evaluated (considered taking) a task. Displayed in a list next to ""Times Evaluated"" (how many times someone tried to take this task) and ""Last Evaluation Time"" (when did anyone try to take this task)."
event.birthday,{0} ma teraz {1} lat!,,
event.content.hint,Wpis do Dziennika,,
event.log.disabled.in.tutorial,Sprawdź Dziennik Wydarzej po zakończeniu samouczka,,
event.panel.clear.tutorial.info,"Wyczyszczenia powiadomienia, ale w trakcie samouczka ta funkcja jest wyłączona",,
event.sound.0,Wszystkie dźwięki wydarzej,,
event.sound.1,Tylko alarmy krytyczne,,
event.sound.2,Dźwięki wydarzeń wyciszone,,
event.title,Tytuł Wydarzenia,,
event.title.hint,Krótki Opis,,
event.write,Napisz o Wydarzeniu,,
events,Wydarzenie,,
everyones.tasks,Wszystkie Zadania,,
evt.asteroid.desc,Radar wykrył asteroidę o niebezpiecznie bliskiej trajektorii. Będzie w pobliżu statku za około {0}.,,
evt.asteroid.impact.desc,Asteroida zderzyła się ze statkiem!,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
